Sample_ID,Short_ID,Plot,Restoration,Depth,Block,Precip,Invaded,TN_mg_gsoil,TC_mg_gsoil,CtoN,Year,MBC_Lab,MBC,WEOC,POM_TN,POM_TC,MAOM_TN,MAOM_TC,perc_POM,perc_MAOM,pH,GWC,COVER_C,ANN_F_C,PER_F_C,IGRASS_C,ALL_GRASS_C,PER_G_C,ANN_G_C,PER_ALL_C,ANN_ALL_C,NFIX_SUM_C,ACHMIL_C,ACMAME_C,ACMSTR_C,AMSMEN_C,ASCFAS_C,CALCIL_C,CIROCC_C,DEIFAS_C,ESCCAL_C,GRICAM_C,LAYPLA_C,LUPBIC_C,LUPMIC_C,LUPSUC_C,PHACIC_C,PLAERE_C,RANCAL_C,TRIWIL_C,ARIPUR_C,BROCAR_C,ELYCON_C,ELYGLA_C,FESMIC_C,HORBRA_C,HORINT_C,KOEMAC_C,SPOAIR_C,STIPUL_C,BRODIA_C,BROMAD_C,FESPER_C,goph_dist_C,FESMYU_C,BROHOR_C,COVER_P,ANN_F_P,PER_F_P,IGRASS_P,ALL_GRASS_P,PER_G_P,ANN_G_P,PER_ALL_P,ANN_ALL_P,NFIX_SUM_P,ACHMIL_P,ACMAME_P,ACMSTR_P,AMSMEN_P,ASCFAS_P,CALCIL_P,CIROCC_P,DEIFAS_P,ESCCAL_P,GRICAM_P,LAYPLA_P,LUPBIC_P,LUPMIC_P,LUPSUC_P,PHACIC_P,PLAERE_P,RANCAL_P,TRIWIL_P,ARIPUR_P,BROCAR_P,ELYCON_P,ELYGLA_P,FESMIC_P,HORBRA_P,HORINT_P,KOEMAC_P,SPOAIR_P,STIPUL_P,BRODIA_P,BROMAD_P,FESPER_P,goph_dist_P,Cover_NoBRODIA,MBC_halfAnLab,COVER_A,ANN_F_A,PER_F_A,IGRASS_A,ALL_GRASS_A,PER_G_A,ANN_G_A,PER_ALL_A,ANN_ALL_A,NFIX_SUM_A,ACHMIL_A,ACMAME_A,ACMSTR_A,AMSMEN_A,ASCFAS_A,CALCIL_A,CIROCC_A,DEIFAS_A,ESCCAL_A,GRICAM_A,LAYPLA_A,LUPBIC_A,LUPMIC_A,LUPSUC_A,PHACIC_A,PLAERE_A,RANCAL_A,TRIWIL_A,ARIPUR_A,BROCAR_A,ELYCON_A,ELYGLA_A,FESMIC_A,HORBRA_A,HORINT_A,KOEMAC_A,SPOAIR_A,STIPUL_A,BRODIA_A,BROMAD_A,FESPER_A,goph_dist_A,COVER_NoBRODIA_A
40-DT-0-15,40-DT,40,DT,shallow,H,dry,0,0.70,7.80,11.10,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.11,0.45,0,0.13,0.03,0.1,0.48,0.21,0.05,0,0.01,0,0,0,0.05,0,0,0,0.45,0,0.02,0,0,0.03,0,0,0,0,0.03,0,0,0.1,0,0,0,0,0,0,0,0,0.05,0,0,0.84,0.2,0.04,0.05,0.6,0.3,0.3,0.34,0.5,0.1,0,0.03,0,0,0,0.1,0,0,0.05,0.04,0,0,0,0.01,0.01,0,0,0,0,0.3,0,0,0.25,0,0,0,0,0,0,0.05,0,NA,0.84,NA,0.765,0.155,0.245,0.025,0.365,0.165,0.2,0.41,0.355,0.075,0,0.02,0,0,0,0.075,0,0,0.025,0.245,0,0.01,0,0.005,0.02,0,0,0,0,0.165,0,0,0.175,0,0,0,0,0,0,0.025,0,0.05,0.765
40-FD-15-30,40-FD,40,FD,deep,H,dry,0,0.50,3.80,7.60,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.03,0.06,0,0.01,0.01,0,0.07,0.03,0.04,0,0,0.01,0,0,0,0.02,0,0,0.04,0,0,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.09,0.14,0.05,0.21,0.15,0.06,0.29,0.15,0.06,0.03,0.01,0,0,0,0,0.01,0,0.05,0.1,0,0,0,0.03,0,0,0,0,0,0.15,0,0,0.01,0,0,0,0,0,0,0.05,0,,0.44,NA,0.27,0.06,0.1,0.025,0.11,0.08,0.03,0.18,0.09,0.05,0.015,0.005,0.005,0,0,0,0.015,0,0.025,0.07,0,0,0,0.02,0,0.005,0,0,0,0.08,0,0,0.005,0,0,0,0,0,0,0.025,0,0,0.27
40-IR-0-15,40-IR,40,IR,shallow,H,dry,1,0.60,5.60,9.30,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,0.16,0.01,0.03,0.09,0.03,0.06,0.04,0.22,0.09,0,0.03,0,0,0,0.1,0.01,0,0.01,0,0,0,0,0,0,0.02,0,0,0,0.03,0,0,0.03,0,0,0,0,0,0,0.03,0,0,0,0,1,0.55,0.1,0.1,0.35,0.2,0.15,0.3,0.7,0,0,0,0,0,0,0.15,0.1,0,0.05,0,0,0,0,0,0,0.35,0,0,0,0.05,0,0.05,0.05,0,0,0.1,0,0,0,0.1,0,NA,1,NA,0.63,0.355,0.055,0.065,0.22,0.115,0.105,0.17,0.46,0.045,0,0.015,0,0,0,0.125,0.055,0,0.03,0,0,0,0,0,0,0.185,0,0,0,0.04,0,0.025,0.04,0,0,0.05,0,0,0,0.065,0,0,0.63
41-FD-0-15,41-FD,41,FD,shallow,H,dry,1,0.50,3.90,7.80,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.03,0,0.03,0.17,0.04,0.13,0.04,0.16,0.02,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0.01,0,0,0,0.04,0,0,0.1,0,0,0,0,0,0,0.03,0,0.25,0,0,0.78,0.37,0.11,0.01,0.3,0.19,0.11,0.3,0.48,0.09,0.03,0.01,0,0,0,0.05,0.01,0,0.05,0.02,0,0.02,0.04,0,0,0.2,0.05,0,0,0.1,0,0,0.1,0,0,0.04,0,0.05,0.01,0,0,NA,0.77,NA,0.49,0.2,0.055,0.02,0.235,0.115,0.12,0.17,0.32,0.055,0.015,0.005,0,0,0,0.025,0.005,0,0.025,0.01,0,0.015,0.025,0,0,0.105,0.025,0,0,0.07,0,0,0.1,0,0,0.02,0,0.025,0.005,0.015,0,0.25,0.485
41-IR-0-15,41-IR,41,IR,shallow,H,dry,0,0.6,6.2,10.44,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0.19,0,0.02,0.13,0.01,0.12,0.01,0.31,0.09,0,0.03,0,0,0,0.1,0,0,0,0,0,0,0,0,0.01,0.05,0,0,0,0.01,0,0,0.1,0,0,0,0,0,0,0,0.02,0.05,0,0,0.9,0.66,0,0.04,0.24,0.1,0.14,0.1,0.8,0.33,0,0.1,0,0.03,0,0.3,0,0,0.1,0,0,0,0.03,0,0,0.1,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0.01,0.03,0,NA,0.89,NA,0.61,0.425,0,0.03,0.185,0.055,0.13,0.055,0.555,0.21,0,0.065,0,0.015,0,0.2,0,0,0.05,0,0,0,0.015,0,0.005,0.075,0,0,0,0.055,0,0,0.1,0,0,0,0,0,0.005,0.015,0.01,0.05,0.605
41-R-0-15,41-R,41,R,shallow,H,dry,1,0.70,6.30,9.00,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.03,0.04,0,0.1,0.05,0.05,0.09,0.08,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.03,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.87,0.09,0.05,0.05,0.73,0.03,0.7,0.08,0.79,0,0,0,0,0.01,0,0,0,0,0.03,0.05,0,0,0,0,0.04,0.01,0,0,0,0.03,0,0,0.65,0,0,0,0,0,0,0.05,0,NA,0.87,NA,0.52,0.06,0.045,0.025,0.415,0.04,0.375,0.085,0.435,0,0,0,0,0.005,0,0,0,0,0.015,0.045,0,0,0,0,0.035,0.005,0,0,0,0.04,0,0,0.35,0,0,0,0,0,0,0.025,0,0,0.52
41-R-15-30,41-R,41,R,deep,H,dry,1,NA,NA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.03,0.04,0,0.1,0.05,0.05,0.09,0.08,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.03,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.87,0.09,0.05,0.05,0.73,0.03,0.7,0.08,0.79,0,0,0,0,0.01,0,0,0,0,0.03,0.05,0,0,0,0,0.04,0.01,0,0,0,0.03,0,0,0.65,0,0,0,0,0,0,0.05,0,,0.87,NA,0.52,0.06,0.045,0.025,0.415,0.04,0.375,0.085,0.435,0,0,0,0,0.005,0,0,0,0,0.015,0.045,0,0,0,0,0.035,0.005,0,0,0,0.04,0,0,0.35,0,0,0,0,0,0,0.025,0,0,0.52
42-DT-0-15,42-DT,42,DT,shallow,H,dry,0,0.50,4.70,9.40,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,0.55,0.17,0,0.06,0.02,0.04,0.19,0.59,0.69,0,0.02,0.15,0,0,0.1,0.02,0,0.1,0.15,0,0.03,0,0.15,0,0,0,0,0,0.02,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.63,0.3,0.05,0.03,0.28,0.2,0.08,0.25,0.38,0.15,0,0,0.05,0,0,0.15,0,0,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0.2,0.05,0,0,0,0,0,0,0.03,0,NA,0.63,NA,0.705,0.425,0.11,0.015,0.17,0.11,0.06,0.22,0.485,0.42,0,0.01,0.1,0,0,0.125,0.01,0,0.1,0.1,0,0.015,0,0.075,0,0,0,0,0,0.01,0,0.1,0.045,0,0,0,0,0,0,0.015,0,0,0.705
42-IR-15-30,42-IR,42,IR,deep,H,dry,0,0.40,3.60,9.00,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.12,NA,0.34,0.11,0.13,0,0.1,0,0.1,0.13,0.21,0.09,0,0.03,0,0.05,0,0,0.03,0,0.02,0.1,0,0,0,0,0,0.01,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0.83,0.38,0.28,0,0.17,0.02,0.15,0.3,0.53,0.11,0.02,0.02,0,0.2,0,0,0.25,0,0.1,0.01,0,0,0.02,0.03,0,0.01,0,0,0,0,0,0,0.15,0,0,0,0.02,0,0,0,0,,0.83,NA,0.585,0.245,0.205,0,0.135,0.01,0.125,0.215,0.37,0.1,0.01,0.025,0,0.125,0,0,0.14,0,0.06,0.055,0,0,0.01,0.015,0,0.01,0,0,0,0,0,0,0.125,0,0,0,0.01,0,0,0,0,0.2,0.585
42-R-0-15,42-R,42,R,shallow,H,dry,1,0.60,5.00,8.30,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,0.73,0.01,0.1,0.15,0,0.15,0.01,0.88,0.1,0,0,0,0,0,0,0.01,0,0.02,0,0.6,0,0,0.1,0,0.01,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.1,0,0,0,0,0.84,0.33,0.25,0.06,0.26,0,0.26,0.25,0.59,0.16,0,0.02,0,0,0,0,0,0,0.2,0.25,0.01,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.01,0.05,0,NA,0.83,NA,0.865,0.53,0.13,0.08,0.205,0,0.205,0.13,0.735,0.13,0,0.01,0,0,0,0,0.005,0,0.11,0.125,0.305,0,0,0.1,0,0.005,0,0,0,0,0,0,0.125,0,0,0,0,0,0.005,0.075,0,0,0.86
43-DT-0-15,43-DT,43,DT,shallow,N,dry,0,0.6,5.3,8.78,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,0.01,0.15,0,0.03,0,0.03,0.15,0.04,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0.01,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.8,0,0,0.86,0.47,0.12,0.02,0.27,0.1,0.17,0.22,0.64,0.02,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0,0,0.02,0.25,0,0.02,0,0,0,0,0.1,0.15,0,0,0,0,0,0,0.02,0,NA,0.86,NA,0.525,0.24,0.135,0.01,0.15,0.05,0.1,0.185,0.34,0.01,0,0,0,0,0,0.05,0,0,0.05,0.125,0,0,0,0.01,0.13,0,0.01,0,0,0,0,0.05,0.09,0,0,0,0,0,0,0.01,0,0.8,0.525
43-FD-0-15,43-FD,43,FD,shallow,N,dry,0,0.60,5.40,9.00,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.2,0.07,0,0,0,0,0.07,0.2,0,0,0,0,0.2,0,0,0.02,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.39,0.08,0.3,0,0.01,0,0.01,0.3,0.09,0.12,0,0.04,0,0.04,0,0,0.15,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,NA,0.39,NA,0.33,0.14,0.185,0,0.005,0,0.005,0.185,0.145,0.06,0,0.02,0,0.12,0,0,0.085,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0.6,0.33
43-R-0-15,43-R,43,R,shallow,H,dry,0,0.70,6.50,9.30,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0.37,0.11,0,0.2,0.15,0.05,0.26,0.42,0.22,0,0.05,0,0,0,0,0.05,0,0.05,0.05,0,0.02,0.05,0,0.2,0,0.01,0,0,0.15,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.48,0.2,0.01,0.02,0.27,0.25,0.02,0.26,0.22,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0.01,0,0,0.25,0,0,0,0,0,0,0,0,0,0.02,0,NA,0.48,NA,0.58,0.285,0.06,0.01,0.235,0.2,0.035,0.26,0.32,0.16,0,0.025,0,0,0,0,0.025,0,0.075,0.025,0,0.01,0.025,0.05,0.1,0,0.01,0,0,0.2,0,0,0.025,0,0,0,0,0,0,0.01,0,0,0.58
